,contact?,point_of_contact,lead_author,lead_aff,anchor_author,email_subject,pub_title,pub_url,published_by,funded_by,cites,pub_snippet,included_astrobiology,included_astronomy,included_ysp
0,No,April E. Ronca,April E. Ronca,,Ruth K. Globus,We appreciate your Scientific Reports paper,Behavior of mice aboard the International Space Station,https://doi.org/10.1038/s41598-019-40789-y,Scientific Reports,Scientific Reports,59,"Interest in space habitation has grown dramatically with planning underway for the first human 
transit to Mars. Despite a robust history of domestic and international spaceflight research, ...",0,0,0
0,No,V. Stamenković,V. Stamenković,,R. Woolley,We appreciate your Nature Astronomy paper,The next frontier for planetary and human exploration,https://doi.org/10.1038/s41550-018-0676-9,Nature Astronomy,Nature Astronomy,42,"The surface of Mars has been well mapped and characterized, yet the subsurface -- the 
most likely place to find signs of extant or extinct life and a repository of useful resources for ...",0,0,0
0,No,Hyunju Kim,Hyunju Kim,"Beyond Center for Fundamental Concepts in Science, Arizona State University, Tempe, AZ, USA.",Sara I. Walker,We appreciate your Science Advances paper,Universal scaling across biochemical networks on Earth,https://doi.org/10.1126/sciadv.aau0149,Science Advances,Science Advances,34,"The application of network science to biology has advanced our understanding of the 
metabolism of individual organisms and the organization of ecosystems but has scarcely been ...",0,0,0
0,No,Monica Vidaurri,Monica Vidaurri,,Jacob Haqq-Misra,We appreciate your Space Policy paper,"Absolute Prioritization of Planetary Protection, Safety, and Avoiding Imperialism in All Future Science Missions: A Policy Perspective",https://doi.org/10.1016/j.spacepol.2019.101345,Space Policy,Space Policy,7,"1. Abstract. The prioritization and improvement of ethics, planetary protection, and safety 
standards in the astro-sciences is the most critical priority as our scientific and exploratory ...",0,0,0
0,No,A. Leleu,A. Leleu,,J. Schneider,We appreciate your Astronomy &amp; Astrophysics paper,Co-orbital exoplanets from close-period candidates: the TOI-178 case,https://doi.org/10.1051/0004-6361/201834901,Astronomy &amp; Astrophysics,Astronomy &amp; Astrophysics,24,"Despite the existence of co-orbital bodies in the solar system, and the prediction of the 
formation of co-orbital planets by planetary system formation models, no co-orbital exoplanets (...",0,0,0
0,No,Jacob Haqq-Misra,Jacob Haqq-Misra,,Jacob Haqq-Misra,We appreciate your Space and Society paper,Can Deep Altruism Sustain Space Settlement?,https://doi.org/10.1007/978-3-030-02059-0_8,Space and Society,Space and Society,18,"Abstract Space settlement represents a long-term human effort that requires unprecedented 
coordination across successive generations. In this chapter, I develop a comparative ...",0,0,0
0,No,Tristan A. Caro,Tristan A. Caro,,David J. Smith,We appreciate your Aerobiologia paper,Ultraviolet light measurements (280-400 nm) acquired from stratospheric balloon flight to assess influence on bioaerosols,https://doi.org/10.1007/s10453-019-09597-9,Aerobiologia,Aerobiologia,8,"Viable microorganisms collected from the Earth's upper atmosphere are mysterious considering 
the intensely biocidal ultraviolet (UV) light conditions dominating rarefied air. Historically...",0,0,0
0,No,Candice G. T. Tahimic,Candice G. T. Tahimic,,Ruth K. Globus,We appreciate your Frontiers in Physiology paper,Influence of Social Isolation During Prolonged Simulated Weightlessness by Hindlimb Unloading,https://doi.org/10.3389/fphys.2019.01147,Frontiers in Physiology,Frontiers in Physiology,50,"The hindlimb unloading (HU) model has been used extensively to simulate the cephalad fluid 
shift and musculoskeletal disuse observed in spaceflight with its application expanding to ...",0,0,0
0,No,Po-Hsiang Wang,Po-Hsiang Wang,"Earth-Life Science Institute (ELSI), Tokyo Institute of Technology",Shawn E. McGlynn,We appreciate your   paper,A Single Polyphosphate Kinase-Based NTP Regeneration System Driving Cell-Free Protein Synthesis,https://doi.org/10.26434/chemrxiv.8874410.v1, , ,1,"Current reconstituted cell-free protein synthesis systems regenerate the ATP and GTP required 
for peptide bond formation using phosphocreatine and three coupled kinase reactions. ...",0,0,0
0,No,Lewis M. Ward,Lewis M. Ward,,Shawn E. McGlynn,We appreciate your   paper,Phototrophic Methane Oxidation in a Member of the Chloroflexi Phylum,https://doi.org/10.1101/531582, , ,13,"Biological methane cycling plays an important role in Earth's climate and the global carbon 
cycle, with biological methane oxidation (methanotrophy) modulating methane release from ...",0,0,0
0,No,Jacob Haqq‐Misra,Jacob Haqq‐Misra,Blue Marble Space Institute of Science  Seattle WA USA,Stephen R. Kane,We appreciate your Journal of Geophysical Research: Planets paper,Constraining the Magnitude of Climate Extremes From Time-Varying Instellation on a Circumbinary Terrestrial Planet,https://doi.org/10.1029/2019je006222,Journal of Geophysical Research: Planets,Journal of Geophysical Research: Planets,11,"Planets that revolve around a binary pair of stars are known as circumbinary planets. The 
orbital motion of the stars around their center of mass causes a periodic variation in the total ...",0,0,0
0,No,Wolf Cukier,Wolf Cukier,,Jacob Haqq-Misra,We appreciate your Publications of the Astronomical Society of the Pacific paper,Habitable Zone Boundaries for Circumbinary Planets,https://doi.org/10.1088/1538-3873/ab50cb,Publications of the Astronomical Society of the Pacific,Publications of the Astronomical Society of the Pacific,11,"We use a one-dimensional (1D) cloud-free climate model to estimate habitable zone (HZ) 
boundaries for terrestrial planets of masses 0.1 ME and 5 ME around circumbinary stars of ...",0,0,0
0,No,Tony Z. Jia,Tony Z. Jia,"Earth-Life Science Institute, Tokyo Institute of Technology, Meguro-ku, 152-8550 Tokyo, Japan;",H. James Cleaves,We appreciate your Proceedings of the National Academy of Sciences paper,Membraneless polyester microdroplets as primordial compartments at the origins of life,https://doi.org/10.1073/pnas.1902336116,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,112,"Compartmentalization was likely essential for primitive chemical systems during the emergence 
of life, both for preventing leakage of important components, ie, genetic materials, and ...",0,0,0
0,No,В. П. Власова,В. П. Власова,,В. П. Власова,"We appreciate your АКАДЕМІЧНА ДОБРОЧЕСНІСТЬ, ВІДКРИТА НАУКА ТА ШТУЧНИЙ ІНТЕЛЕКТ: ЯК СТВОРИТИ ДОБРОЧЕСНЕ ОСВІТНЄ СЕРЕДОВИЩЕ paper",Shtuchnii intelekt ta etichni aspekti naukovikh doslidzhen',https://doi.org/10.36059/978-966-397-345-6-35,"АКАДЕМІЧНА ДОБРОЧЕСНІСТЬ, ВІДКРИТА НАУКА ТА ШТУЧНИЙ ІНТЕЛЕКТ: ЯК СТВОРИТИ ДОБРОЧЕСНЕ ОСВІТНЄ СЕРЕДОВИЩЕ","АКАДЕМІЧНА ДОБРОЧЕСНІСТЬ, ВІДКРИТА НАУКА ТА ШТУЧНИЙ ІНТЕЛЕКТ: ЯК СТВОРИТИ ДОБРОЧЕСНЕ ОСВІТНЄ СЕРЕДОВИЩЕ",1,"Etika kosmichnikh doslidzhen' sformuvalasia v okremu galuz' naprikintsi KhKh st. na osnovi 
takikh galuzei prikladnoyi etiki, iak ekologichna etika ta etika naukovikh doslidzhen' [10]. ...",0,0,0
